,Q1,Q2,Q3,Q4
경주신상카페,22.18070977791825,0.0,0.0,0.0
경주카페,36.04365338911715,0.0,0.0,0.0
고등학생,0.0,0.0,40.20253647247683,0.0
고로애옳,36.04365338911715,0.0,0.0,0.0
고양이,13.5210574052337,0.0,11.507282898071233,4.890595231680274
고양이그림,20.79441541679836,0.0,0.0,0.0
고양이만화,15.249237972318797,0.0,0.0,0.0
고양이사료,0.0,16.635532333438686,0.0,0.0
고양이사료추천,0.0,16.635532333438686,0.0,0.0
고양이스타그램,20.79441541679836,0.0,0.0,0.0
고양이일러스트,18.021826694558577,0.0,0.0,0.0
고양이집사,15.249237972318797,0.0,0.0,0.0
공감툰,18.021826694558577,0.0,0.0,0.0
공동구매,0.0,22.18070977791825,0.0,0.0
공유,0.0,0.0,0.0,29.112181583517703
곽두리,0.0,0.0,0.0,49.90659700031606
관리하는여자,0.0,19.408121055678468,0.0,0.0
광고,0.0,0.0,0.0,0.0
광주,0.0,0.0,73.4736011393542,0.0
광주카페,37.42994775023705,0.0,0.0,0.0
교동카페,0.0,0.0,51.29289136143595,0.0
구두리현누리,0.0,0.0,0.0,49.90659700031606
구리,0.0,0.0,0.0,45.747713916956386
구미,0.0,54.06548008367573,0.0,0.0
구영리,0.0,0.0,37.42994775023705,0.0
구움과자,23.56700413903814,0.0,0.0,0.0
국내여행,12.476649250079015,0.0,19.408121055678468,0.0
국내여행지,0.0,0.0,16.635532333438686,0.0
국내여행지추천,0.0,0.0,18.021826694558577,0.0
국내여행추천,0.0,0.0,29.112181583517703,0.0
군산맛집,45.747713916956386,0.0,0.0,0.0
군산여행,18.021826694558577,0.0,0.0,0.0
굽스타그램,31.884770305757485,0.0,0.0,0.0
귀여운강아지,0.0,16.635532333438686,0.0,0.0
귀요미,0.0,0.0,45.747713916956386,0.0
그림,18.021826694558577,0.0,0.0,0.0
금요일,0.0,0.0,0.0,18.021826694558577
기차여행,0.0,0.0,0.0,56.83806880591551
기후위기,20.79441541679836,0.0,0.0,0.0
길고양이,15.249237972318797,0.0,0.0,0.0
길냥이,18.021826694558577,0.0,0.0,0.0
김망고,20.79441541679836,0.0,0.0,0.0
김포,0.0,0.0,15.249237972318797,0.0
꽃스타그램,0.0,16.635532333438686,0.0,0.0
꾸꾸,0.0,0.0,16.635532333438686,0.0
꿈을드리는여행,0.0,0.0,33.27106466687737,0.0
나인웨어,0.0,45.747713916956386,0.0,0.0
남매맘,0.0,0.0,0.0,16.635532333438686
남미,0.0,38.816242111356935,0.0,0.0
남자데일리룩,30.498475944637594,0.0,0.0,0.0
남자옷,31.884770305757485,0.0,0.0,0.0
남자코디,23.56700413903814,0.0,0.0,0.0
남친룩,15.249237972318797,0.0,0.0,0.0
남친짤,0.0,0.0,0.0,38.816242111356935
내돈내산,0.0,16.635532333438686,0.0,0.0
내방,24.95329850015803,0.0,0.0,0.0
냠냠,0.0,15.249237972318797,0.0,0.0
냥스타그램,32.57791748631743,0.0,28.419034402957756,0.0
냥이스타그램,20.79441541679836,0.0,0.0,0.0
노을,0.0,36.04365338911715,0.0,0.0
노을바다,0.0,16.635532333438686,0.0,0.0
노지캠핑,19.408121055678468,0.0,0.0,0.0
녹차덕후,0.0,0.0,55.451774444795625,0.0
놀이공유,19.408121055678468,0.0,0.0,0.0
놀이그램,23.56700413903814,0.0,0.0,0.0
놀이미술,40.20253647247683,0.0,0.0,0.0
놀이육아,41.58883083359672,0.0,0.0,0.0
놈코어,18.021826694558577,0.0,0.0,0.0
놈코어룩,22.18070977791825,13.16979643063896,0.0,0.0
누리,0.0,0.0,0.0,49.90659700031606
뉴트리그램,42.97512519471661,0.0,0.0,0.0
능소화,16.635532333438686,0.0,0.0,0.0
다이어터,0.0,0.0,20.101268236238415,22.873856958478193
다이어터그램,0.0,20.79441541679836,0.0,0.0
다이어터소통,0.0,20.79441541679836,0.0,0.0
다이어터식단,0.0,20.79441541679836,0.0,0.0
다이어트,0.0,0.0,0.0,0.0
다이어트간식,0.0,11.78350206951907,8.317766166719343,0.0
다이어트그램,0.0,0.0,27.725887222397812,0.0
다이어트기록,0.0,0.0,26.33959286127792,0.0
다이어트레시피,23.56700413903814,0.0,0.0,0.0
다이어트빵,0.0,47.13400827807628,0.0,0.0
다이어트소통,0.0,20.79441541679836,0.0,0.0
다이어트식단,0.0,0.0,0.0,0.0
다이어트요리,31.884770305757485,0.0,0.0,0.0
닥터힐메딕스,0.0,19.408121055678468,0.0,0.0
단발녀,0.0,29.112181583517703,0.0,0.0
단발머리,0.0,33.27106466687737,0.0,0.0
단발스타그램,0.0,38.816242111356935,0.0,0.0
단백질바,31.884770305757485,0.0,0.0,0.0
담양,49.90659700031606,0.0,0.0,0.0
당충전,26.33959286127792,0.0,0.0,0.0
대구,20.13774507162466,12.370329115426577,16.685560202203288,0.0
대구맛집,37.42994775023705,0.0,0.0,0.0
대구신상카페,23.56700413903814,0.0,11.090354888959125,0.0
대구카페,19.850062999172877,6.0413235214873975,9.781190463360549,0.0
대구카페추천,18.021826694558577,0.0,0.0,0.0
대구핫플,41.58883083359672,0.0,0.0,0.0
대리석테이블,0.0,22.18070977791825,0.0,0.0
대전,0.0,49.90659700031606,0.0,0.0
대학생,0.0,15.249237972318797,0.0,0.0
대한민국구석구석,33.27106466687737,0.0,0.0,0.0
대흥역카페,19.408121055678468,0.0,0.0,0.0
댓글,0.0,9.010913347279288,15.942385152878742,0.0
댓글이벤트,0.0,16.635532333438686,0.0,0.0
댕댕이,0.0,6.904369738842741,3.4521848694213704,20.42542714407644
댕댕이그램,0.0,0.0,0.0,51.29289136143595
데일리,0.0,0.0,0.0,0.0
데일리그램,0.0,0.0,0.0,108.13096016735146
데일리룩,0.0,0.0,0.0,0.0
데일리룩코디,18.714973875118524,16.635532333438686,0.0,0.0
데일리코디,27.725887222397812,0.0,8.317766166719343,0.0
데일리패션,24.95329850015803,0.0,0.0,0.0
도그플레이스,0.0,0.0,19.408121055678468,0.0
도산공원맛집,0.0,0.0,20.79441541679836,0.0
도치맘,0.0,0.0,33.96421184743732,10.39720770839918
도하,0.0,0.0,0.0,49.90659700031606
독스타그램,0.0,0.0,0.0,23.56700413903814
독후활동,37.42994775023705,0.0,0.0,0.0
동결건조사료,0.0,27.725887222397812,0.0,0.0
동대구역카페,0.0,0.0,30.498475944637594,0.0
동명동,44.3614195558365,0.0,0.0,0.0
동성로,28.419034402957756,0.0,7.6246189861593985,0.0
동행,0.0,15.249237972318797,0.0,0.0
돼지스타그램,0.0,0.0,31.884770305757485,0.0
두줄반사,0.0,0.0,0.0,24.95329850015803
드라이브,0.0,18.021826694558577,0.0,0.0
드로잉,15.249237972318797,0.0,0.0,0.0
들살이,0.0,0.0,27.725887222397812,0.0
등원룩,0.0,0.0,0.0,29.112181583517703
디얼퍼피,0.0,0.0,0.0,37.42994775023705
디엠,0.0,15.249237972318797,0.0,7.6246189861593985
디자인가구,0.0,45.747713916956386,0.0,0.0
디저트,57.53121598647546,15.942385152878742,0.0,0.0
디저트맛집,0.0,0.0,37.42994775023705,0.0
디저트카페,0.0,22.18070977791825,16.635532333438686,0.0
디트로네,0.0,0.0,48.52030263919617,0.0
디트로네m,0.0,0.0,15.249237972318797,0.0
딥마인마켓,59.61065752815529,0.0,0.0,0.0
딸,0.0,0.0,0.0,15.249237972318797
딸둥이,0.0,0.0,0.0,20.79441541679836
딸맘,0.0,0.0,17.328679513998633,10.39720770839918
딸바보,0.0,0.0,7.6246189861593985,28.419034402957756
딸바보아빠,0.0,0.0,0.0,59.61065752815529
딸스타그램,0.0,0.0,9.704060527839234,47.13400827807628
뚝섬카페,0.0,29.112181583517703,0.0,0.0
라페스타,0.0,0.0,26.33959286127792,0.0
랙돌,0.0,0.0,34.657359027997266,0.0
랜선여행,0.0,20.79441541679836,0.0,0.0
럭셔리호텔,0.0,16.635532333438686,0.0,0.0
럽스타그램,0.0,0.0,0.0,0.0
레시피,0.0,0.0,38.816242111356935,0.0
레이옷입기,0.0,0.0,0.0,15.249237972318797
렬이네,0.0,54.06548008367573,0.0,0.0
렬이네공구,0.0,19.408121055678468,0.0,0.0
렬이미술놀이,0.0,15.249237972318797,0.0,0.0
로미의,90.10913347279289,0.0,0.0,0.0
릴스,38.816242111356935,0.0,0.0,0.0
마블테이블,0.0,20.79441541679836,0.0,0.0
마포구카페,22.18070977791825,0.0,0.0,0.0
마하하타요가,0.0,15.249237972318797,0.0,0.0
만들기놀이,20.79441541679836,0.0,0.0,0.0
만들어,0.0,0.0,18.021826694558577,0.0
만복,0.0,0.0,0.0,22.18070977791825
만세,0.0,0.0,0.0,22.18070977791825
만화,36.04365338911715,0.0,0.0,0.0
말차덕후,0.0,0.0,55.451774444795625,0.0
말티즈,0.0,0.0,0.0,51.29289136143595
말티푸,9.704060527839234,0.0,0.0,12.476649250079015
맘스타그램,0.0,0.0,31.191623125197538,7.6246189861593985
맛스타,12.658011187878357,3.739866941873151,10.35655460826411,0.0
맛스타그램,0.0,0.0,0.0,0.0
맛집,5.753641449035617,0.0,29.055889317629866,13.233375332781918
맛집그램,0.0,0.0,0.0,44.3614195558365
맛집리뷰,0.0,0.0,33.27106466687737,0.0
맛집소개,38.816242111356935,0.0,0.0,0.0
맛집스타그램,0.0,0.0,0.0,47.13400827807628
맛집추천,9.781190463360549,0.0,27.0421148104674,8.918144246005205
맛집탐방,10.644236680715892,0.0,22.151519578787124,12.082647042974795
맞팔,0.0,0.0,0.0,0.0
맞팔선팔,0.0,0.0,77.63248422271387,0.0
맞팔선팔환영,0.0,0.0,63.76954061151497,0.0
맞팔좋아요,0.0,0.0,0.0,23.56700413903814
맞팔하면선팔,0.0,0.0,42.97512519471661,0.0
