,Q1,Q2,Q3,Q4
salonbogor,0.0,0.0,7.6246189861593985,0.0
salonmenteng,0.0,0.0,7.6246189861593985,0.0
scottishfold,0.0,0.0,27.725887222397812,0.0
selca,-30.57066653004673,-2.454579064456307,-3.124009718398936,-8.256311398625758
selfie,-40.165839236557744,-14.950617938052051,-27.892943914276213,-29.67809232478989
selife,0.0,0.0,0.0,10.39720770839918
selstagram,0.0,0.0,0.0,12.476649250079015
seoul,-2.900866167084726,-2.454579064456307,-9.372029155196808,-4.2397274749699845
seoulbotanicpark,0.0,27.725887222397812,0.0,0.0
seoulcafe,15.249237972318797,0.0,0.0,0.0
sketch,17.328679513998633,0.0,0.0,0.0
snapshot,0.0,0.0,8.317766166719343,0.0
sofa,14.556090791758852,0.0,0.0,0.0
soulo,0.0,10.39720770839918,0.0,0.0
ssef,12.476649250079015,0.0,0.0,0.0
ssefproject,8.317766166719343,0.0,0.0,0.0
stayhome,7.6246189861593985,0.0,0.0,0.0
style,13.862943611198906,0.0,0.0,0.0
summer,0.0,0.0,5.178277304132055,3.164502796969589
sunset,5.465959376583836,3.164502796969589,0.0,0.0
teafood,8.317766166719343,0.0,0.0,0.0
trailrunning,0.0,0.0,0.0,7.6246189861593985
travel,0.0,17.328679513998633,0.0,0.0
travelblogger,0.0,14.556090791758852,0.0,0.0
traveler,0.0,8.317766166719343,0.0,0.0
travelgram,3.164502796969589,7.767415956198083,0.0,0.0
travelholic,0.0,3.4521848694213704,3.4521848694213704,0.0
travelinside,0.0,11.78350206951907,0.0,0.0
travellingthroughtheworld,10.39720770839918,0.0,0.0,0.0
travelphotography,0.0,20.79441541679836,0.0,0.0
trazy,11.090354888959125,0.0,0.0,0.0
trip,0.0,13.16979643063896,0.0,0.0
ulzzang,3.164502796969589,0.0,0.0,5.465959376583836
ulzzangstyle,0.0,0.0,0.0,18.714973875118524
useful,0.0,0.0,0.0,16.635532333438686
visitkorea,11.090354888959125,0.0,0.0,0.0
whitedog,0.0,14.556090791758852,0.0,0.0
world,9.704060527839234,0.0,0.0,0.0
worldtravel,0.0,11.78350206951907,0.0,0.0
worldtrip,0.0,11.78350206951907,0.0,0.0
xa0,0.0,22.151519578787124,38.837079780990415,0.0
yoga,0.0,9.010913347279288,0.0,0.0
youth,0.0,9.704060527839234,0.0,0.0
yummy,0.0,0.0,25.646445680717974,0.0
가가멜스,0.0,0.0,3.739866941873151,3.739866941873151
가로수길,0.0,0.0,11.090354888959125,0.0
가로수길맛집,4.890595231680274,0.0,6.0413235214873975,0.0
가오픈,0.0,3.739866941873151,0.0,5.178277304132055
가오픈카페,-15.62004859199468,-5.801732334169452,-2.900866167084726,-3.124009718398936
가정보육,5.178277304132055,7.1920518112945215,0.0,0.0
가족,0.0,0.0,0.0,27.725887222397812
가족나들이,0.0,0.0,18.714973875118524,0.0
가족스타그램,0.0,0.0,18.714973875118524,0.0
가족여행,0.0,0.0,8.317766166719343,0.0
간식,10.931918753167672,0.0,0.0,3.164502796969589
간편요리,8.317766166719343,0.0,0.0,0.0
감성,-2.900866167084726,-7.58688074468313,-7.81002429599734,-5.578588782855243
감성사진,0.0,0.0,0.0,0.0
감성용품,0.0,0.0,8.317766166719343,0.0
감성카페,13.233375332781918,15.247149839944385,0.0,0.0
감성캠핑,0.0,0.0,0.0,0.0
감자마스크,0.0,0.0,0.0,9.010913347279288
강남,0.0,0.0,0.0,33.27106466687737
강남맛집,0.0,0.0,11.78350206951907,0.0
강릉,0.0,9.704060527839234,0.0,0.0
강아지,0.0,6.616687666390959,0.0,25.603704448208497
강아지남매,0.0,0.0,0.0,9.010913347279288
강아지동반,0.0,0.0,0.0,24.95329850015803
강아지동영상,0.0,12.476649250079015,0.0,0.0
강아지사료,0.0,11.090354888959125,0.0,0.0
강아지사료추천,0.0,11.78350206951907,0.0,0.0
강아지산책,0.0,0.0,0.0,25.646445680717974
강아지영상,0.0,9.010913347279288,0.0,0.0
강아지옷,0.0,0.0,0.0,29.805328764077647
강아지옷도매,0.0,0.0,0.0,9.010913347279288
강아지옷쇼핑몰,0.0,0.0,0.0,10.39720770839918
강아지원피스,0.0,0.0,0.0,15.942385152878742
강아지의류,0.0,0.0,0.0,8.317766166719343
강아지커플룩,0.0,0.0,0.0,11.78350206951907
강아지쿨매트,0.0,0.0,0.0,7.6246189861593985
강원도,0.0,11.090354888959125,0.0,0.0
개냥이,13.16979643063896,0.0,0.0,0.0
개린이,0.0,0.0,0.0,24.95329850015803
개스타그램,0.0,0.0,0.0,25.646445680717974
개일리룩,0.0,0.0,0.0,19.408121055678468
객리단길,0.0,0.0,19.408121055678468,0.0
객리단길카페,0.0,0.0,9.704060527839234,0.0
갬성,0.0,6.616687666390959,10.35655460826411,0.0
갬성캠핑,0.0,0.0,17.328679513998633,0.0
거실인테리어,0.0,18.021826694558577,0.0,0.0
거제여행,9.010913347279288,0.0,0.0,0.0
거제카페,9.704060527839234,0.0,0.0,0.0
건강간식,3.164502796969589,3.164502796969589,0.0,0.0
건강식,17.328679513998633,0.0,0.0,0.0
건강식단,0.0,0.0,0.0,0.0
건대,18.021826694558577,0.0,0.0,0.0
겨울코디,13.16979643063896,0.0,0.0,0.0
경산,9.010913347279288,0.0,0.0,0.0
경의선숲길카페,9.010913347279288,0.0,0.0,0.0
경주신상카페,11.090354888959125,0.0,0.0,0.0
경주카페,18.021826694558577,0.0,0.0,0.0
고등학생,0.0,0.0,20.101268236238415,0.0
고로애옳,18.021826694558577,0.0,0.0,0.0
고양이,0.0,0.0,0.0,0.0
고양이그림,10.39720770839918,0.0,0.0,0.0
고양이만화,7.6246189861593985,0.0,0.0,0.0
고양이사료,0.0,8.317766166719343,0.0,0.0
고양이사료추천,0.0,8.317766166719343,0.0,0.0
고양이스타그램,10.39720770839918,0.0,0.0,0.0
고양이일러스트,9.010913347279288,0.0,0.0,0.0
고양이집사,7.6246189861593985,0.0,0.0,0.0
공감툰,9.010913347279288,0.0,0.0,0.0
공동구매,0.0,11.090354888959125,0.0,0.0
공유,0.0,0.0,0.0,14.556090791758852
곽두리,0.0,0.0,0.0,24.95329850015803
관리하는여자,0.0,9.704060527839234,0.0,0.0
광고,-6.917450090740501,-8.70259850125418,-8.925742052568388,-4.016583923655775
광주,0.0,0.0,36.7368005696771,0.0
광주카페,18.714973875118524,0.0,0.0,0.0
교동카페,0.0,0.0,25.646445680717974,0.0
구두리현누리,0.0,0.0,0.0,24.95329850015803
구리,0.0,0.0,0.0,22.873856958478193
구미,0.0,27.032740041837865,0.0,0.0
구영리,0.0,0.0,18.714973875118524,0.0
구움과자,11.78350206951907,0.0,0.0,0.0
국내여행,5.178277304132055,0.0,8.055098028649864,0.0
국내여행지,0.0,0.0,8.317766166719343,0.0
국내여행지추천,0.0,0.0,9.010913347279288,0.0
국내여행추천,0.0,0.0,14.556090791758852,0.0
군산맛집,22.873856958478193,0.0,0.0,0.0
군산여행,9.010913347279288,0.0,0.0,0.0
굽스타그램,15.942385152878742,0.0,0.0,0.0
귀여운강아지,0.0,8.317766166719343,0.0,0.0
귀요미,0.0,0.0,22.873856958478193,0.0
그림,9.010913347279288,0.0,0.0,0.0
금요일,0.0,0.0,0.0,9.010913347279288
기차여행,0.0,0.0,0.0,28.419034402957756
기후위기,10.39720770839918,0.0,0.0,0.0
길고양이,7.6246189861593985,0.0,0.0,0.0
